year,level_1,level_2,level_3,value
2004,10-14 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3356
2004,10-14 Years,Total HDB Dwellings,HDB 3-Room Flats,31098
2004,10-14 Years,Total HDB Dwellings,HDB 4-Room Flats,92479
2004,10-14 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,82885
2004,15-19 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3899
2004,15-19 Years,Total HDB Dwellings,HDB 3-Room Flats,32472
2004,15-19 Years,Total HDB Dwellings,HDB 4-Room Flats,84235
2004,15-19 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,67237
2004,20-24 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4982
2004,20-24 Years,Total HDB Dwellings,HDB 3-Room Flats,39925
2004,20-24 Years,Total HDB Dwellings,HDB 4-Room Flats,81742
2004,20-24 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,56104
2004,25-29 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4377
2004,25-29 Years,Total HDB Dwellings,HDB 3-Room Flats,49982
2004,25-29 Years,Total HDB Dwellings,HDB 4-Room Flats,92453
2004,25-29 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,65042
2004,30-34 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4360
2004,30-34 Years,Total HDB Dwellings,HDB 3-Room Flats,50534
2004,30-34 Years,Total HDB Dwellings,HDB 4-Room Flats,103512
2004,30-34 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,91112
2004,35-39 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5010
2004,35-39 Years,Total HDB Dwellings,HDB 3-Room Flats,51323
2004,35-39 Years,Total HDB Dwellings,HDB 4-Room Flats,104973
2004,35-39 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,92891
2004,40-44 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6608
2004,40-44 Years,Total HDB Dwellings,HDB 3-Room Flats,55860
2004,40-44 Years,Total HDB Dwellings,HDB 4-Room Flats,109633
2004,40-44 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,92704
2004,45-49 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8183
2004,45-49 Years,Total HDB Dwellings,HDB 3-Room Flats,54538
2004,45-49 Years,Total HDB Dwellings,HDB 4-Room Flats,102008
2004,45-49 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,81976
2004,50-54 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7809
2004,50-54 Years,Total HDB Dwellings,HDB 3-Room Flats,49658
2004,50-54 Years,Total HDB Dwellings,HDB 4-Room Flats,82293
2004,50-54 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,61251
2004,55-59 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7047
2004,55-59 Years,Total HDB Dwellings,HDB 3-Room Flats,41373
2004,55-59 Years,Total HDB Dwellings,HDB 4-Room Flats,56077
2004,55-59 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,39057
2004,60-64 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7055
2004,60-64 Years,Total HDB Dwellings,HDB 3-Room Flats,32786
2004,60-64 Years,Total HDB Dwellings,HDB 4-Room Flats,38221
2004,60-64 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,24662
2004,65-69 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6766
2004,65-69 Years,Total HDB Dwellings,HDB 3-Room Flats,26862
2004,65-69 Years,Total HDB Dwellings,HDB 4-Room Flats,28549
2004,65-69 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,18249
2004,70-74 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6126
2004,70-74 Years,Total HDB Dwellings,HDB 3-Room Flats,19058
